RECORD,RECORDID,DATE,TIME,LAT,LONG,EW,SACT,SPEED,SDIR,CLD,PREC,WSPEED,WDIR,ATMP,APRS,SSTE,STMP,SAL,DEPTH,OBS,CSMETH,MONTH,SEASN,LONG360,LATCELL,LONGECELL,,
1,1083001,15/10/1975,14:00,-45.917,165.400,E,1,15.0,,2,8,5,,,,5,,,,JEFF,F,10,spring,165.400,-45.5,165.5,,
2,1084001,3/11/1975,13:10,-35.533,125.000,E,1,14.0,,1,0,4,,,,4,,,,JEFF,F,11,spring,125.000,-35.5,125.5,,
3,1084002,4/11/1975,14:20,-37.667,132.250,E,1,14.5,,2,0,4,,,,4,,,,JEFF,F,11,spring,132.250,-37.5,132.5,,
4,1084003,8/11/1975,16:15,-40.000,162.000,E,1,14.6,,1,2,4,,,,4,,,,JEFF,F,11,spring,162.000,-40.5,162.5,,
5,1086001,16/11/1975,12:30,-36.167,174.917,E,1,15.0,,1,0,0,,,,1,,,,JEFF,F,11,spring,174.917,-36.5,174.5,,
6,1086002,16/11/1975,15:30,-35.417,174.567,E,1,15.0,,2,0,3,,,,3,,,,JEFF,F,11,spring,174.567,-35.5,174.5,,
7,1086003,17/11/1975,14:30,-35.250,168.000,E,1,15.0,,1,8,3,,,,3,,,,JEFF,F,11,spring,168.000,-35.5,168.5,,
8,1086004,17/11/1975,16:30,-35.300,167.333,E,1,15.0,,1,8,2,,,,3,,,,JEFF,F,11,spring,167.333,-35.5,167.5,,
9,1086005,18/11/1975,14:30,-36.500,161.000,E,1,15.0,,1,0,3,,,,4,,,,JEFF,F,11,spring,161.000,-36.5,161.5,,
10,1086006,18/11/1975,16:30,-36.333,160.500,E,1,15.0,,1,0,2,,,,3,,,,JEFF,F,11,spring,160.500,-36.5,160.5,,
11,1086007,20/11/1975,12:00,-39.183,146.283,E,1,15.0,,2,0,7,,,,5,,,,JEFF,F,11,spring,146.283,-39.5,146.5,,
12,1087001,22/11/1975,14:00,,,,1,15.0,,2,0,4,,,,4,,,,JEFF,F,11,spring,,,,,
13,1087002,23/11/1975,14:30,-39.667,154.167,E,1,15.0,,2,0,6,,,,5,,,,JEFF,F,11,spring,154.167,-39.5,154.5,,
14,1087003,23/11/1975,16:00,-39.667,155.000,E,1,15.0,,2,0,6,,,,5,,,,JEFF,F,11,spring,155.000,-39.5,155.5,,
15,1087004,24/11/1975,12:00,-39.850,161.933,E,1,15.0,,2,0,6,,,,5,,,,JEFF,F,11,spring,161.933,-39.5,161.5,,
16,1087005,24/11/1975,14:00,-39.933,162.083,E,1,15.0,,2,0,6,,,,5,,,,JEFF,F,11,spring,162.083,-39.5,162.5,,
17,1087006,24/11/1975,16:00,-40.000,164.000,E,1,15.0,,2,0,6,,,,5,,,,JEFF,F,11,spring,164.000,-40.5,164.5,,
18,1087007,24/11/1975,18:00,-40.000,,,1,15.0,,1,0,4,,,,4,,,,JEFF,F,11,spring,,-40.5,,,
19,1087008,25/11/1975,10:00,-40.100,167.500,E,1,15.0,,2,0,4,,,,4,,,,JEFF,F,11,spring,167.500,-40.5,167.5,,
20,1087009,25/11/1975,13:00,-40.167,168.667,E,1,15.0,,2,0,5,,,,4,,,,JEFF,F,11,spring,168.667,-40.5,168.5,,
21,1087010,25/11/1975,14:00,-40.200,169.083,E,1,15.0,,2,0,4,,,,4,,,,JEFF,F,11,spring,169.083,-40.5,169.5,,
22,1087011,25/11/1975,15:20,-40.217,169.500,E,1,15.0,,2,0,4,,,,3,,,,JEFF,F,11,spring,169.500,-40.5,169.5,,
23,1088001,9/11/1975,16:50,-33.000,152.000,E,1,10.0,,1,0,2,,,,3,,,,NESF,F,11,spring,152.000,-33.5,152.5,,
