id,name,category,year,parts,img_link,set_link,raw_price,mean_price
21036-1,Arc de Triomphe,Architecture,2017.0,386.0,/sets/21036-1/12061.jpg/180x180p.jpg,/sets/21036-1/arc-de-triomphe/,"['\n$73.87\n', '\n$73.87\n']",73.87
21050-1,Architecture Studio,Architecture,2013.0,1211.0,/sets/21050-1/17335.jpg/180x180p.jpg,/sets/21050-1/architecture-studio/,[],0.0
21027-1,Berlin,Architecture > Skylines,2016.0,289.0,/sets/21027-1/32614.jpg/180x180p.jpg,/sets/21027-1/berlin/,"['\n$380.00\n', '\n$380.00\n']",380.0
21013-1,Big Ben,Architecture,2012.0,346.0,/sets/21013-1/13705.jpg/180x180p.jpg,/sets/21013-1/big-ben/,[],0.0
21029-1,Buckingham Palace,Architecture,2016.0,780.0,/sets/21029-1/7908.jpg/180x180p.jpg,/sets/21029-1/buckingham-palace/,"['\n$105.12\n', '\n$105.12\n']",105.12
21008-1,Burj Khalifa,Architecture,2011.0,208.0,/sets/21008-1/16351.jpg/180x180p.jpg,/sets/21008-1/burj-khalifa/,[],0.0
21031-1,Burj Khalifa,Architecture,2016.0,333.0,/sets/21031-1/32874.jpg/180x180p.jpg,/sets/21031-1/burj-khalifa/,[],0.0
21055-1,Burj Khalifa,Architecture,2019.0,333.0,/sets/21055-1/76385.jpg/180x180p.jpg,/sets/21055-1/burj-khalifa/,"['\n$133.99\n', '\n$99.12\n', '\n$133.99\n', '\n$99.12\n']",116.56
21033-1,Chicago,Architecture > Skylines,2017.0,444.0,/sets/21033-1/15369.jpg/180x180p.jpg,/sets/21033-1/chicago/,"['\n$200.00\n', '\n$200.00\n']",200.0
21052-1,Dubai,Architecture > Skylines,2020.0,740.0,/sets/21052-1/18567.jpg/180x180p.jpg,/sets/21052-1/dubai/,"['\n$82.49\n', '\n$57.99\n', '\n$73.34\n', '\n$82.49\n', '\n$57.99\n', '\n$73.34\n']",71.27
21002-1,Empire State Building,Architecture,2009.0,77.0,/sets/21002-1/15857.jpg/180x180p.jpg,/sets/21002-1/empire-state-building/,"['\n$49.95\n', '\n$49.95\n']",49.95
21046-1,Empire State Building,Architecture,2019.0,1767.0,/sets/21046-1/22370.jpg/180x180p.jpg,/sets/21046-1/empire-state-building/,"['\n$110.00\n', '\n$116.99\n', '\n$110.00\n', '\n$116.99\n']",113.5
21005-1,Fallingwater,Architecture,2009.0,811.0,/sets/21005-1/15191.jpg/180x180p.jpg,/sets/21005-1/fallingwater/,[],0.0
21009-1,Farnsworth House,Architecture,2011.0,546.0,/sets/21009-1/11717.jpg/180x180p.jpg,/sets/21009-1/farnsworth-house/,[],0.0
21023-1,Flatiron Building,Architecture,2015.0,471.0,/sets/21023-1/13565.jpg/180x180p.jpg,/sets/21023-1/flatiron-building/,"['\n$63.64\n', '\n$63.64\n']",63.64
21058-1,Great Pyramid of Giza,Architecture,2022.0,1476.0,/sets/21058-1/102703.jpg/180x180p.jpg,/sets/21058-1/great-pyramid-of-giza/,"['\n$129.99\n', '\n$120.00\n', '\n$129.99\n', '\n$111.80\n', '\n$129.99\n', '\n$120.00\n', '\n$129.99\n', '\n$111.80\n']",122.94
21017-1,Imperial Hotel,Architecture,2013.0,1188.0,/sets/21017-1/15858.jpg/180x180p.jpg,/sets/21017-1/imperial-hotel/,"['\n$178.51\n', '\n$178.51\n']",178.51
21001-1,John Hancock Center,Architecture,2008.0,69.0,/sets/21001-1/17482.jpg/180x180p.jpg,/sets/21001-1/john-hancock-center/,[],0.0
19720-1,John Hancock Center (Brickstructures Version),Architecture,2008.0,69.0,/sets/19720-1/14927.jpg/180x180p.jpg,/sets/19720-1/john-hancock-center-brickstructures-version/,[],0.0
21038-1,Las Vegas,Architecture > Skylines,2017.0,487.0,/sets/21038-1/16548.jpg/180x180p.jpg,/sets/21038-1/las-vegas/,[],0.0
21047-1,Las Vegas,Architecture > Skylines,2018.0,501.0,/sets/21047-1/26687.jpg/180x180p.jpg,/sets/21047-1/las-vegas/,"['\n$87.98\n', '\n$62.50\n', '\n$87.98\n', '\n$62.50\n']",75.24
4000038-1,LEGO Campus,Architecture,2022.0,1461.0,/sets/4000038-1/100553.jpg/180x180p.jpg,/sets/4000038-1/lego-campus/,"['\n$129.99\n', '\n$1,099.00\n', '\n$129.99\n', '\n$1,099.00\n']",614.5
21037-1,LEGO House,Architecture,2017.0,774.0,/sets/21037-1/13756.jpg/180x180p.jpg,/sets/21037-1/lego-house/,"['\n$111.07\n', '\n$111.07\n']",111.07
21022-1,Lincoln Memorial,Architecture,2015.0,274.0,/sets/21022-1/15864.jpg/180x180p.jpg,/sets/21022-1/lincoln-memorial/,"['\n$75.37\n', '\n$75.37\n']",75.37
21034-1,London,Architecture > Skylines,2016.0,468.0,/sets/21034-1/33552.jpg/180x180p.jpg,/sets/21034-1/london/,"['\n$39.99\n', '\n$21.81\n', '\n$39.95\n', '\n$39.99\n', '\n$21.81\n', '\n$39.95\n']",33.92
21024-1,Louvre,Architecture,2015.0,695.0,/sets/21024-1/10706.jpg/180x180p.jpg,/sets/21024-1/louvre/,"['\n$132.89\n', '\n$132.89\n']",132.89
21021-1,Marina Bay Sands,Architecture,2014.0,602.0,/sets/21021-1/17536.jpg/180x180p.jpg,/sets/21021-1/marina-bay-sands/,[],0.0
21028-1,New York City,Architecture > Skylines,2016.0,598.0,/sets/21028-1/32836.jpg/180x180p.jpg,/sets/21028-1/new-york-city/,"['\n$59.99\n', '\n$87.29\n', '\n$59.99\n', '\n$87.29\n']",73.64
21044-1,Paris,Architecture > Skylines,2019.0,649.0,/sets/21044-1/11025.jpg/180x180p.jpg,/sets/21044-1/paris/,"['\n$44.99\n', '\n$49.99\n', '\n$48.95\n', '\n$44.99\n', '\n$49.99\n', '\n$48.95\n']",47.98
21010-1,Robie House,Architecture,2011.0,2276.0,/sets/21010-1/1189.jpg/180x180p.jpg,/sets/21010-1/robie-house/,"['\n$607.97\n', '\n$607.97\n']",607.97
21007-1,Rockefeller Center,Architecture,2010.0,240.0,/sets/21007-1/11718.jpg/180x180p.jpg,/sets/21007-1/rockefeller-center/,[],0.0
6291437-1,Sakura Tree,Architecture,2020.0,147.0,/sets/6291437-1/19184.jpg/180x180p.jpg,/sets/6291437-1/sakura-tree/,[],0.0
21043-1,San Francisco,Architecture > Skylines,2019.0,565.0,/sets/21043-1/15526.jpg/180x180p.jpg,/sets/21043-1/san-francisco/,"['\n$79.95\n', '\n$79.99\n', '\n$79.95\n', '\n$79.99\n']",79.97
21000-1,Sears Tower,Architecture,2008.0,69.0,/sets/21000-1/15217.jpg/180x180p.jpg,/sets/21000-1/sears-tower/,[],0.0
19710-1,Sears Tower (Brickstructures Version),Architecture,2008.0,68.0,/sets/19710-1/15322.jpg/180x180p.jpg,/sets/19710-1/sears-tower-brickstructures-version/,[],0.0
21003-1,Seattle Space Needle,Architecture,2009.0,57.0,/sets/21003-1/3740.jpg/180x180p.jpg,/sets/21003-1/seattle-space-needle/,"['\n$175.00\n', '\n$175.00\n']",175.0
21039-1,Shanghai,Architecture > Skylines,2018.0,597.0,/sets/21039-1/14818.jpg/180x180p.jpg,/sets/21039-1/shanghai/,"['\n$114.98\n', '\n$99.00\n', '\n$114.98\n', '\n$99.00\n']",106.99
21057-1,Singapore,Architecture > Skylines,2022.0,836.0,/sets/21057-1/95276.jpg/180x180p.jpg,/sets/21057-1/singapore/,"['\n$58.90\n', '\n$59.99\n', '\n$77.49\n', '\n$58.90\n', '\n$50.99\n', '\n$59.99\n', '\n$77.49\n']",63.39
21004-1,Solomon R. Guggenheim Museum,Architecture,2009.0,208.0,/sets/21004-1/15192.jpg/180x180p.jpg,/sets/21004-1/solomon-r-guggenheim-museum/,[],0.0
21035-1,Solomon R. Guggenheim Museum,Architecture,2017.0,744.0,/sets/21035-1/13507.jpg/180x180p.jpg,/sets/21035-1/solomon-r-guggenheim-museum/,"['\n$138.84\n', '\n$138.84\n']",138.84
21042-1,Statue of Liberty,Architecture,2018.0,1685.0,/sets/21042-1/13289.jpg/180x180p.jpg,/sets/21042-1/statue-of-liberty/,"['\n$99.95\n', '\n$119.99\n', '\n$128.48\n', '\n$99.95\n', '\n$119.99\n', '\n$128.48\n']",116.14
21016-1,Sungnyemun,Architecture,2012.0,325.0,/sets/21016-1/15859.jpg/180x180p.jpg,/sets/21016-1/sungnyemun/,[],0.0
21032-1,Sydney,Architecture > Skylines,2017.0,361.0,/sets/21032-1/12147.jpg/180x180p.jpg,/sets/21032-1/sydney/,"['\n$242.58\n', '\n$242.58\n']",242.58
21012-1,Sydney Opera House,Architecture,2012.0,270.0,/sets/21012-1/15845.jpg/180x180p.jpg,/sets/21012-1/sydney-opera-house/,[],0.0
21056-1,Taj Mahal,Architecture,2021.0,2024.0,/sets/21056-1/88317.jpg/180x180p.jpg,/sets/21056-1/taj-mahal/,"['\n$97.50\n', '\n$119.99\n', '\n$199.00\n', '\n$97.50\n', '\n$119.99\n', '\n$199.00\n']",138.83
21015-1,The Leaning Tower of Pisa,Architecture,2013.0,345.0,/sets/21015-1/4392.jpg/180x180p.jpg,/sets/21015-1/the-leaning-tower-of-pisa/,"['\n$142.05\n', '\n$142.05\n']",142.05
21054-1,The White House,Architecture,2020.0,1483.0,/sets/21054-1/64201.jpg/180x180p.jpg,/sets/21054-1/the-white-house/,"['\n$300.00\n', '\n$99.99\n', '\n$169.00\n', '\n$300.00\n', '\n$99.99\n', '\n$169.00\n']",189.66
21051-1,Tokyo,Architecture > Skylines,2020.0,547.0,/sets/21051-1/15173.jpg/180x180p.jpg,/sets/21051-1/tokyo/,"['\n$59.99\n', '\n$44.99\n', '\n$59.99\n', '\n$115.00\n', '\n$59.99\n', '\n$44.99\n', '\n$59.99\n', '\n$115.00\n']",69.99
21045-1,Trafalgar Square,Architecture,2019.0,1197.0,/sets/21045-1/17334.jpg/180x180p.jpg,/sets/21045-1/trafalgar-square/,"['\n$119.99\n', '\n$115.99\n', '\n$119.99\n', '\n$115.99\n']",117.99
21020-1,Trevi Fountain,Architecture,2014.0,731.0,/sets/21020-1/13035.jpg/180x180p.jpg,/sets/21020-1/trevi-fountain/,[],0.0
21018-1,United Nations Headquarters,Architecture,2013.0,597.0,/sets/21018-1/1923.jpg/180x180p.jpg,/sets/21018-1/united-nations-headquarters/,"['\n$179.98\n', '\n$179.98\n']",179.98
21030-1,United States Capitol Building,Architecture,2016.0,1032.0,/sets/21030-1/15904.jpg/180x180p.jpg,/sets/21030-1/united-states-capitol-building/,"['\n$198.00\n', '\n$198.00\n']",198.0
21026-1,Venice,Architecture > Skylines,2016.0,212.0,/sets/21026-1/31687.jpg/180x180p.jpg,/sets/21026-1/venice/,"['\n$215.41\n', '\n$215.41\n']",215.41
21014-1,Villa Savoye,Architecture,2012.0,660.0,/sets/21014-1/15856.jpg/180x180p.jpg,/sets/21014-1/villa-savoye/,"['\n$285.47\n', '\n$285.47\n']",285.47
21000-2,Willis Tower,Architecture,2011.0,69.0,/sets/21000-2/15213.jpg/180x180p.jpg,/sets/21000-2/willis-tower/,[],0.0
40539-1,Ahsoka Tano,Brickheadz,2022.0,164.0,/sets/40539-1/95789.jpg/180x180p.jpg,/sets/40539-1/ahsoka-tano/,"['\n$18.70\n', '\n$9.99\n', '\n$16.90\n', '\n$18.70\n', '\n$9.99\n', '\n$16.90\n']",15.2
6315025-1,Amsterdam Brickheadz,Brickheadz,2019.0,110.0,/sets/6315025-1/15519.jpg/180x180p.jpg,/sets/6315025-1/amsterdam-brickheadz/,[],0.0
41618-1,Anna & Olaf,Brickheadz,2018.0,201.0,/sets/41618-1/15893.jpg/180x180p.jpg,/sets/41618-1/anna-olaf/,"['\n$29.40\n', '\n$29.40\n']",29.4
41600-1,Aquaman,Brickheadz,2018.0,135.0,/sets/41600-1/13551.jpg/180x180p.jpg,/sets/41600-1/aquaman/,"['\n$17.79\n', '\n$25.00\n', '\n$17.79\n', '\n$25.00\n']",21.4
41623-1,Ariel & Ursula,Brickheadz,2018.0,361.0,/sets/41623-1/9551.jpg/180x180p.jpg,/sets/41623-1/ariel-ursula/,"['\n$80.59\n', '\n$80.59\n']",80.59
41586-1,Batgirl,Brickheadz,2017.0,99.0,/sets/41586-1/1162.jpg/180x180p.jpg,/sets/41586-1/batgirl/,"['\n$22.50\n', '\n$22.50\n']",22.5
41585-1,Batman,Brickheadz,2017.0,91.0,/sets/41585-1/812.jpg/180x180p.jpg,/sets/41585-1/batman/,"['\n$31.82\n', '\n$31.82\n']",31.82
41491-1,Batman & The Joker,Brickheadz,2016.0,206.0,/sets/41491-1/70958.jpg/180x180p.jpg,/sets/41491-1/batman-the-joker/,[],0.0
